非正式验收测试	α测试
黑盒测试	β测试
功能测试	黑盒测试
数据驱动测试	黑盒测试
基于需求规格说明书的功能测试	黑盒测试
行为测试	功能测试
结构测试	白盒测试
透明盒测试	白盒测试
逻辑驱动测试	白盒测试
基于代码的测试	白盒测试
模块测试	单元测试
链式测试	端到端测试
交付测试	发行测试
组装测试	集成测试
联合测试	集成测试
部件测试	集成测试
行为测试	功能测试
因果分析图	因果图
特性要因图	因果图
石川图	因果图
鱼骨图	因果图
容错性测试	健壮性测试
UI测试	用户界面测试
词法分析器	扫描器
单个字符序列	语素
declarations	声明
translation rules	转换规则
auxiliary procedures	其它函数
源程序分析	编译
程序编译	编译
中间代码	中间语言
LL分析法	自上而下语法分析方法
LR分析法	自下而上语法分析方法
静态程序分析	源程序静态分析
引用表	静态程序分析引用表
逆向工程	逆向技术
系统科学	系统优化
分支覆盖	判定覆盖
多条件覆盖	条件组合覆盖
程序框图	程序流程图
选择结构	分支结构
控制流图	控制流程图
安全漏洞	计算机安全隐患
成对编程	结对编程	
变异分析	变异测试
域欺骗	DNS下毒
